0,1,2,3
2017-09-01 19:02:56+00:00,TxDOT,Please check http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-09-01 17:15:30+00:00,TxDOT,Please visit http://drivetexas.org for the latest road conditions &amp; closures.,
2017-09-01 17:12:12+00:00,TxDOT,"Texting and driving kills. And starting today, it’s also illegal in Texas. Don’t get a ticket or shatter a life. #TalkTextCrash",#TalkTextCrash
2017-09-01 15:01:00+00:00,TxDOT,Tolls on Grand Parkway from IH 10 to IH 69 continue to be waived by @TxDOT and @TxDOTHoustonPIO until further notice.,
2017-09-01 13:30:24+00:00,TxDOT,"As #Harvey continues to impact Texas roadways, please visit http://www.drivetexas.org for the latest road conditions &amp; closures.",#Harvey
2017-09-01 12:34:58+00:00,TxDOT,Tolls on Grand Parkway are waived. Tolls on SH 130 and SH 45SE just barely resumed 1 day ago. Visit http://DriveTexas.org for best route,
2017-09-01 12:32:34+00:00,TxDOT,"Look at http://DriveTexas.org. Many parts of I-10 are open, but conditions change frequently so please see that website for the latest",
2017-09-01 12:29:47+00:00,TxDOT,"Yes, tolls are waived on Grand Parkway right now until further notice to assist with this disaster.",
2017-08-31 21:14:15+00:00,TxDOT,Please check http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 21:00:55+00:00,TxDOT,TxDOT crews have rushed to the coast to help Texans recover from #Harvey. @TxDOTCEO describes the agency's actions:,#Harvey
2017-08-31 15:21:24+00:00,TxDOT,Flooding from Harvey continues to impact Texas roadways. Stay safe & remember: #TurnAroundDontDrown! Visit: http://drivetexas.org #Harvey,#TurnAroundDontDrown #Harvey
2017-08-31 14:10:16+00:00,TxDOT,Please visit http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 14:08:59+00:00,TxDOT,According to @HCTRA Tolls remain waived on the entire Harris County toll system http://bit.ly/2wqoMPT until further notice,
2017-08-31 13:18:49+00:00,TxDOT,All tolls for SH 99/ Grand Parkway will be waived due to significant flooding until further notice.,
2017-08-31 13:02:57+00:00,TxDOT,"Currently, this only extends to SH 99/ Grand Parkway.",
2017-08-31 12:45:18+00:00,TxDOT,Dangerous flooding continues to threaten #TX communities. Stay safe &amp; remember: #TurnAroundDontDrown! Visit: http://www.drivetexas.org #Harvey,#TX #TurnAroundDontDrown #Harvey
2017-08-31 10:58:54+00:00,TxDOT,This was announced on both on our Facebook and Twitter pages: http://ow.ly/BvKO30eOaPs,
2017-08-31 00:56:30+00:00,TxDOT,We recommend reaching out to the Jefferson Co Office of Emergency Management:,
2017-08-31 00:29:51+00:00,TxDOT,"Starting at 10 pm, we will resume tolls on SH 130 from Georgetown to US 183 and on SH 45SE from US 183 to I-35 in Buda. See map for details",
2017-08-30 18:05:17+00:00,TxDOT,Thank you for sharing this with us. We will inform the district office to look into it.,
2017-08-30 17:15:33+00:00,TxDOT,You can view the most recent road conditions and closures at http://www.drivetexas.org,
2017-08-30 15:28:44+00:00,TxDOT,"TxDOT Commissioner Jeff Austin III visits the EOC, thanks team for their unwavering commitment during #Harvey.",#Harvey
2017-08-30 14:25:50+00:00,TxDOT,Please check http://DriveTexas.org for the latest road closures/conditions,
2017-08-30 14:25:25+00:00,TxDOT,Please check http://DriveTexas.org for the latest road closures/conditions,
2017-08-30 13:25:13+00:00,TxDOT,"As #Harvey continues to impact Texas roadways, please visit http://www.drivetexas.org for the latest road conditions &amp; closures.",#Harvey
2017-08-29 21:23:07+00:00,TxDOT,You can see the latest road conditions and closures at http://www.drivetexas.org,
2017-08-29 19:15:10+00:00,TxDOT,We don't recommend travel to Houston at this time. View the latest road conditions & closures at http://www.drivetexas.org,
2017-08-29 16:34:20+00:00,TxDOT,This is not a TxDOT decision. Please contact the Texas Department of Motor Vehicles for more information http://www.txdmv.gov/motor-carriers,
2017-08-29 14:46:20+00:00,TxDOT,Please check http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-29 14:10:26+00:00,TxDOT,Please visit http://www.drivetexas.org for the latest road conditions and closures.,
2017-08-29 04:43:51+00:00,TxDOT,Thank you @La_DOTD #StandWithTexas #Harvey #TXWX,#StandWithTexas #Harvey #TXWX
2017-08-28 17:52:26+00:00,TxDOT,You can find the interactive map at http://www.drivetexas.org,
2017-08-28 17:13:05+00:00,TxDOT,The information on http://www.drivetexas.org is the most recent accurate information we have available at this time.,
2017-08-28 12:57:45+00:00,TxDOT,Please visit http://drivetexas.org for the latest road conditions &amp; closures.,
2017-08-28 12:45:15+00:00,TxDOT,#Harvey to continue impacting Texas through the coming week. Please visit http://www.drivetexas.org for the latest road conditions &amp; closures.,#Harvey
2017-08-28 09:56:03+00:00,TxDOT,Please check http://www.drivetexas.org for the latest road conditions and closures.,
2017-08-28 05:37:37+00:00,TxDOT,"Due to I-10 closure, tolls waived on SH 130 segments 1-4 and SH 45 SE until further notice. Use DriveTexas for road closures and detours.",
2017-08-28 04:33:11+00:00,TxDOT,Please see I-10 closure. #havey https://twitter.com/txdotyoakum/status/902021142055194624,#havey
2017-08-27 20:48:43+00:00,TxDOT,@humanesupreme Please visit http://www.drivetexas.org for the latest updates regarding road conditions and closures.,
2017-08-27 19:44:01+00:00,TxDOT,TxDOT Officials Urge Houston Area Drivers to Stay Off Roads: http://ow.ly/y7yF30eI4g5 Follow @TxDOTHoustonPIO for more #Harvey updates.,#Harvey
2017-08-27 15:40:13+00:00,TxDOT,"It is against Texas law to drive around barricades at flooded roads. And it’s NEVER worth the risk. Turn Around, Don’t Drown! #Harvey",#Harvey
2017-08-27 14:15:12+00:00,TxDOT,Roads in #TX may be flooded from #Harvey. Check http://DriveTexas.org for road closures/conditions! #txwx,#TX #Harvey #txwx
2017-08-27 14:07:19+00:00,TxDOT,Tnx for the suggestion. We'll get something pinned. You can also see our local district Twitter feeds: http://www.txdot.gov/inside-txdot/media-center/txdot-twitter-feeds.html,
2017-08-27 14:01:31+00:00,TxDOT,Please check http://www.drivetexas.org for the latest information on closures and road conditions.,
2017-08-27 13:14:15+00:00,TxDOT,Please check http://www.drivetexas.org for the latest road conditions and closure information.,
2017-08-27 12:30:25+00:00,TxDOT,STAY ALERT! #Harvey to continue impacting Texas through the coming wk. Monitor local #txwx conditions at http://www.weather.gov/,#Harvey #txwx
2017-08-27 01:35:05+00:00,TxDOT,"Remember: dangerous waters can seem deceptively calm; if you encounter flooding, move to higher ground #Harvey #txwx",#Harvey #txwx
2017-08-27 00:55:07+00:00,TxDOT,"Roads in #TX may be flooded from #Harvey. Before venturing out, check http://DriveTexas.org for road closures/conditions! #txwx",#TX #Harvey #txwx
2017-08-26 19:25:06+00:00,TxDOT,"During a storm, traffic signals could lose power. Please use caution and treat broken and flashing signals as a 4-way stop. #hurricaneharvey",#hurricaneharvey
2017-08-26 17:25:09+00:00,TxDOT,What roads did #Harvey hurt? Check out http://DriveTexas.org. It shows traffic and closures. Click on an icon; it tells you what’s up.,#Harvey
2017-08-26 12:54:55+00:00,TxDOT,You can always check http://www.drivetexas.org for the latest road conditions and closure information. Stay safe!,
